tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"It’s no secret that a long road to recovery still lies ahead, but I’m grateful to @BlueShieldCA and PMG for their commitment to helping Butte County recover.",1132005997105635329,2019-05-24,19:30:36,replamalfa,5,0,8,2019-05-24 19:30:36
Paradise Medical Group’s return will reintroduce experienced doctors into their facilities in Paradise while the introduction of new technology to allow displaced residents to see a physician remotely will be a game changer.,1132005996275085313,2019-05-24,19:30:35,replamalfa,3,1,7,2019-05-24 19:30:35
"The #CampFire has exacted a heavy toll on our community in Northern California, but with each passing day, we grow one small step closer to a sense of normalcy. pic.twitter.com/PUDg592CpL",1132005988570140672,2019-05-24,19:30:33,replamalfa,2,1,1,2019-05-24 19:30:33
"Today, I was proud to be in attendance as Paradise Medical Group re-opens its doors in Paradise, CA and announced new virtual health services with help from @BlueShieldCA. 
 
Read my full statement---> https://bit.ly/2Kaw7fl  pic.twitter.com/Xo43QQnnK3",1132005985965563904,2019-05-24,19:30:33,replamalfa,4,5,17,2019-05-24 19:30:33
(4/4) Often it can seem like veterans are sent on a wild goose chase just because there isn’t a clear definition of what type documentation is required or where to get it. This bill implements uniform guidelines to simplify this process & make veterans’ lives a little bit easier.,1131950828686856198,2019-05-24,15:51:22,replamalfa,3,1,6,2019-05-24 15:51:22
"(3/4) Currently, veterans may go years without treatment and rack up expensive medical bills all because the process to determine eligibility for benefits is so convoluted.",1131950827340533760,2019-05-24,15:51:22,replamalfa,1,0,4,2019-05-24 15:51:22
"(2/4) After 40 years of uncertainty for veterans from WWII, the Korean War, and the Vietnam War, it’s time for the Department of Defense to establish a system to easily determine eligibility for benefits – a simple process that defines what’s acceptable and what’s not.",1131950826577158149,2019-05-24,15:51:22,replamalfa,1,0,0,2019-05-24 15:51:22
"(1/4) This week, @RepCarbajal and I reintroduced the Veterans' Record Reconstruction Act, which will ease the process for #veterans to prove their eligibility for certain benefits or decorations. https://lamalfa.house.gov/media-center/press-releases/lamalfa-and-carbajal-reintroduce-legislation-to-help-veterans-receive …",1131950825838907392,2019-05-24,15:51:22,replamalfa,2,1,7,2019-05-24 15:51:22
"This week, I spoke on the House floor to honor the life of one of Northern California's great constituents - Lee Jernigan from Oroville, CA. He was a veteran of WWII and a beloved educator in our community. God Bless Lee and his family, he will be missed. pic.twitter.com/qTjLPp4DEi",1131944071583260672,2019-05-24,15:24:31,replamalfa,6,5,31,2019-05-24 15:24:31
"Today, the Senate released the text of a disaster aid package which would provide $19.1 billion for states affected by disasters in 2018. This includes areas impacted by the #CarrFire and #CampFire in Northern California. 

Read my full statement---> https://bit.ly/2EuhGyM  pic.twitter.com/l2CDZ22WOb",1131659823588794368,2019-05-23,20:35:01,replamalfa,8,3,6,2019-05-23 20:35:01
"Congratulations to Dr. Debbie Lupeika from Redding, CA for being named as the 2019 National Clinician of the Year by the Association of Clinicians for the Underserved! I spoke on the House floor this week to recognize her for receiving this prestigious award. pic.twitter.com/LMdQAzEmXQ",1131570910362787840,2019-05-23,14:41:43,replamalfa,3,4,11,2019-05-23 14:41:43
"Today, my colleague @RepMikeJohnson introduced a response resolution to highlight the outrageous costs of the #GreenNewDeal and the enormous harm it would bring to our country. I am fully supportive of this resolution.

Read my full statement---> https://bit.ly/2EpxX8a  pic.twitter.com/LR19iyeXVR",1131337346828447745,2019-05-22,23:13:37,replamalfa,23,15,29,2019-05-22 23:13:37
"#ICYMI: Last night, my bill w/@RepJimmyPanetta, the Honoring Veterans' Families Act, passed the House. Veterans & their families sacrifice a great deal for our country, & our legislation will allow the spouse of a veteran to be included on a vet's grave marker if they so choose. pic.twitter.com/WakqjoZUDX",1131208551085551617,2019-05-22,14:41:50,replamalfa,10,2,11,2019-05-22 14:41:50
"Today is the centennial of the passage of the #19thAmendment in the House of Representatives, which gave women the right to vote in all 50 states. I spoke on the House floor this morning to celebrate the 100th anniversary of this this historic milestone & great victory for women. pic.twitter.com/63X3yjXIJ9",1130833618073530368,2019-05-21,13:51:59,replamalfa,15,5,25,2019-05-21 13:51:59
Watch my questioning at today's Transportation and Infrastructure Committee (@TransportGOP) hearing on the impact of state-owned enterprises on American cybersecurity and jobs. https://youtu.be/6g1DCSUtpFg ,1129120608845991936,2019-05-16,20:25:05,replamalfa,9,1,6,2019-05-16 20:25:05
This is great information regarding how @CA_DWR is managing Lake Oroville in an above-average water year. https://twitter.com/CA_DWR/status/1129104349441986562 …,1129108680358731778,2019-05-16,19:37:41,replamalfa,2,0,4,2019-05-16 19:37:41
Fact check on what's going on at Lake Oroville and the newly reconstructed spillway. https://twitter.com/CA_DWR/status/1129072495095570432 …,1129104166922719232,2019-05-16,19:19:45,replamalfa,5,1,1,2019-05-16 19:19:45
I thank @SecretaryCarson and the Administration for their efforts to help our communities recover. I will work with the state to ensure these funds are properly allocated to people in my district who desperately need it.,1128753524442005510,2019-05-15,20:06:26,replamalfa,3,15,30,2019-05-15 20:06:26
"The U.S. Department of Housing and Urban Development (@HUDgov) has awarded $491,816,000 to California for wildfire recovery, including areas impacted by the #CarrFire & #CampFire. 

Read my full statement here---> https://bit.ly/2LJQAtJ  pic.twitter.com/J9cPPKHSWi",1128753523007660035,2019-05-15,20:06:25,replamalfa,5,13,18,2019-05-15 20:06:25
"#ICYMI: Since today is Peace Officers Memorial Day, watch my speech on the House floor earlier this week recognizing #PoliceWeek https://twitter.com/RepLaMalfa/status/1128410251676540928 …",1128748853220474881,2019-05-15,19:47:52,replamalfa,3,0,4,2019-05-15 19:47:52
"#ICYMI, today was my first hearing as Ranking Member on the @HouseAgGOP Subcommittee on Conservation & Forestry. I look forward to working with @RepSpanberger this Congress to review implementation of the conservation and forestry authorities. https://republicans-agriculture.house.gov/news/documentsingle.aspx?DocumentID=6548 …",1128740423336366080,2019-05-15,19:14:22,replamalfa,5,1,8,2019-05-15 19:14:22
"Additionally, the Oroville Dam Crest Road will be re-opening soon for pedestrian traffic and the Spillway boat launch facility is planned to be re-opened for recreation this summer. pic.twitter.com/97migD5Lrl",1128683730703388672,2019-05-15,15:29:05,replamalfa,0,0,11,2019-05-15 15:29:05
"On Monday, Oroville Mayor Chuck Reynolds and I visited the Oroville Dam spillway with staff from @CA_DWR to receive an update following its first use in April. The newly reconstructed spillway is performing safely & in accordance with its design. pic.twitter.com/6ASoPndwSt",1128683729508098051,2019-05-15,15:29:05,replamalfa,7,1,7,2019-05-15 15:29:05
"It's National #PoliceWeek, so I spoke on the House floor to show our law enforcement officers the recognition and appreciation that they deserve. Thank you to those who work around the clock to keep our communities safe! pic.twitter.com/X3RV1bFnih",1128410251676540928,2019-05-14,21:22:23,replamalfa,6,1,6,2019-05-14 21:22:23
"This week is National #PoliceWeek, so join me in taking a moment to thank the officers that dedicate themselves to keeping us safe each day. Thank you for all that you do to serve our communities in Northern California! pic.twitter.com/VoMBhkFgHr",1128079979944787968,2019-05-13,23:30:00,replamalfa,4,7,15,2019-05-13 23:30:00
"Marine Staff Sgt. Joshua Braica, from Auburn, CA, tragically passed away on Sunday, April 14th when his vehicle rolled over during a training accident at Camp Pendleton in CA. I spoke on the House floor recently to honor Joshua. God bless his family during this difficult time. pic.twitter.com/Qq4ubm1r2z",1128043369702285312,2019-05-13,21:04:32,replamalfa,1,4,14,2019-05-13 21:04:32
"In light of the unprovoked attack by Hamas terrorists on our allies in Israel last weekend, I spoke on the House floor to defend Israel's right to defend their own citizens and respond accordingly when attacked by terrorists. pic.twitter.com/mjpgLgfpeB",1126952073415798784,2019-05-10,20:48:06,replamalfa,14,5,15,2019-05-10 20:48:06
"(4/4) I disagree with many unnecessary provisions in this bill, but it’s an important vote to provide critical disaster assistance for the people in my district as well as other hard-hit areas that desperately need it.",1126891811564396544,2019-05-10,16:48:39,replamalfa,3,0,4,2019-05-10 16:48:39
"(3/4) I’m working with Governor Newsom, Senator Feinstein, & both Democrats & Republicans in the Senate to craft a bipartisan disaster aid bill that can pass both chambers, become law, and actually help people.",1126891810859753477,2019-05-10,16:48:39,replamalfa,1,1,4,2019-05-10 16:48:39
"(2/4) While I don’t believe this bill, as is, will ultimately pass the Senate or be signed by the President due to an injection of partisan priorities, it’s important to all those affected by recent disasters to keep it moving.",1126891809869791232,2019-05-10,16:48:38,replamalfa,3,0,0,2019-05-10 16:48:38
"( 1/4) While I have many reservations about the disaster bill passed by the House today, disaster assistance for #CarrFire & #CampFire survivors is of the utmost importance, and for that reason, I voted to for it.

My full statement---> https://bit.ly/2VtkXsV  pic.twitter.com/tcUlp45O9o",1126891808561278976,2019-05-10,16:48:38,replamalfa,5,1,4,2019-05-10 16:48:38
This week is National Tourism & Travel Week. The industry generates billions of dollars & creates thousands of jobs in Northern California. That's why #TravelMatters for our district & our state. pic.twitter.com/UrupITE7Zv,1126567841963171840,2019-05-09,19:21:18,replamalfa,3,1,10,2019-05-09 19:21:18
I thank @DrPhilRoe & @HouseVetAffairs for passing my bill today as part of H.R. 1947. Veterans sacrifice a lot for our country and they should have the option of including the name of their spouse on their own tombstone if they want to. https://twitter.com/HouseVetAffairs/status/1126225916278050817 …,1126228364052914177,2019-05-08,20:52:20,replamalfa,7,3,16,2019-05-08 20:52:20
The #CampFire was the costliest natural disaster in the world last year & one of the worst wildfires CA has ever seen. The Resilient Federal Forests Act can help save lives & billions of dollars by giving firefighters tools they need to contain a fire before it gets out of hand. https://twitter.com/westerncaucus/status/1126224256591978496 …,1126225779648495617,2019-05-08,20:42:04,replamalfa,6,20,26,2019-05-08 20:42:04
"Congratulations to Forest Wong, whose self-portrait ""May the Forest be With You"" is the winner of our 2019 Congressional Art Competition! We look forward to having your artwork represent California’s 1st District in the U.S. Capitol.

Press Release---> https://bit.ly/2PVEuff  pic.twitter.com/g9gKKeOpCY",1126170769418014720,2019-05-08,17:03:29,replamalfa,4,0,9,2019-05-08 17:03:29
"America’s current reliance on critical minerals from countries like China & Russia is a major concern for our national security & energy independence. These are vital materials that our military & our economy both rely on, & we must have the ability to produce them here at home. https://twitter.com/westerncaucus/status/1125895647037620224 …",1126131499634442241,2019-05-08,14:27:26,replamalfa,10,16,28,2019-05-08 14:27:26
